reading time,reader id,poster id
2012-11-23 11:30:00,283,75
2012-11-23 11:31:00,272,297
2012-11-23 11:31:00,235,297
2012-11-23 11:31:00,152,297
2012-11-23 11:31:00,60,297
2012-11-23 11:31:00,297,283
2012-11-23 11:31:00,272,283
2012-11-23 11:31:00,272,283
2012-11-23 11:31:00,186,283
2012-11-23 11:31:00,297,199
2012-11-23 11:31:00,283,199
2012-11-23 11:31:00,277,199
2012-11-23 11:31:00,272,199
2012-11-23 11:31:00,186,199
2012-11-23 11:31:00,186,199
2012-11-23 11:31:00,152,199
2012-11-23 11:31:00,140,199
2012-11-23 11:31:00,277,192
2012-11-23 11:31:00,152,192
2012-11-23 11:31:00,272,158
2012-11-23 11:31:00,224,158
2012-11-23 11:31:00,186,158
2012-11-23 11:31:00,140,158
2012-11-23 11:31:00,116,76
2012-11-23 11:31:00,283,8
2012-11-23 11:32:00,272,297
2012-11-23 11:32:00,199,297
2012-11-23 11:32:00,199,283
2012-11-23 11:32:00,152,283
2012-11-23 11:32:00,277,235
2012-11-23 11:32:00,272,235
2012-11-23 11:32:00,172,235
2012-11-23 11:32:00,333,192
2012-11-23 11:32:00,272,192
2012-11-23 11:32:00,235,158
2012-11-23 11:32:00,8,158
2012-11-23 11:32:00,297,116
2012-11-23 11:32:00,152,116
2012-11-23 11:32:00,277,8
2012-11-23 11:32:00,272,8
2012-11-23 11:33:00,272,283
2012-11-23 11:33:00,152,272
2012-11-23 11:33:00,297,199
2012-11-23 11:33:00,235,199
2012-11-23 11:33:00,224,199
2012-11-23 11:33:00,272,182
2012-11-23 11:33:00,283,158
2012-11-23 11:33:00,277,158
2012-11-23 11:33:00,272,116
2012-11-23 11:33:00,297,8
2012-11-23 11:33:00,269,8
2012-11-23 11:33:00,269,8
2012-11-23 11:34:00,330,297
2012-11-23 11:34:00,140,297
2012-11-23 11:34:00,21,297
2012-11-23 11:34:00,330,283
2012-11-23 11:34:00,297,283
2012-11-23 11:34:00,235,283
2012-11-23 11:34:00,297,235
2012-11-23 11:34:00,283,199
2012-11-23 11:34:00,283,158
